常看 多源综合v26.1.31,#genre#
山东文旅,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000337/index.m3u8
山东生活,http://192.168.2.88:8888/udp/239.253.244.20:8000
山东生活,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000055/index.m3u8
山东生活,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000336/index.m3u8
山东综艺,http://192.168.2.88:8888/udp/239.253.244.21:8000
山东综艺,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000054/index.m3u8
山东综艺,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000338/index.m3u8
山东体育,http://192.168.2.88:8888/udp/239.253.244.22:8000
山东体育,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000057/index.m3u8
山东体育,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000315/index.m3u8
山东新闻,http://192.168.2.88:8888/udp/239.253.244.23:8000
山东新闻,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000053/index.m3u8
山东新闻,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000314/index.m3u8
山东农科,http://192.168.2.88:8888/udp/239.253.244.24:8000
山东农科,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000058/index.m3u8
山东农科,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://192.168.2.88:8888/udp/239.253.244.25:8000
山东少儿,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000059/index.m3u8
山东少儿,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000340/index.m3u8
山东教育卫视,http://192.168.2.88:8888/udp/239.253.244.59:8000
山东教育卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000331/index.m3u8
济宁,#genre#
济宁综合,http://192.168.2.88:8888/udp/239.253.244.254:8000
济宁生活,http://192.168.2.88:8888/udp/239.253.244.253:8000
济宁公共,http://192.168.2.88:8888/udp/239.253.244.248:8000
济宁公共,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000241/index.m3u8
济宁教育,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000239/index.m3u8
济宁高新,http://192.168.2.88:8888/udp/239.253.244.244:8000
