常看 联通v25.10.03.622,#genre#
美人,http://192.168.2.88:8888/udp/239.253.244.213:8000
鉴赏,http://192.168.2.88:8888/udp/239.253.244.214:8000
国学,http://192.168.2.88:8888/udp/239.253.244.215:8000
星影,http://192.168.2.88:8888/udp/239.253.244.216:8000
墨宝,http://192.168.2.88:8888/udp/239.253.244.222:8000
戏曲,http://192.168.2.88:8888/udp/239.253.244.224:8000
爱生活,http://192.168.2.88:8888/udp/239.253.244.225:8000
解密,http://192.168.2.88:8888/udp/239.253.244.226:8000
武术,http://192.168.2.88:8888/udp/239.253.244.227:8000
美妆,http://192.168.2.88:8888/udp/239.253.244.228:8000
财富天下,http://192.168.2.88:8888/udp/239.253.244.230:8000
收视指南,http://192.168.2.88:8888/udp/239.253.244.124:8000
魅力时尚,http://192.168.2.88:8888/udp/239.253.244.130:8000
IPTV野外,http://192.168.2.88:8888/udp/239.253.244.137:8000
IPTV法治,http://192.168.2.88:8888/udp/239.253.244.138:8000
爱综艺,http://192.168.2.88:8888/udp/239.253.244.129:8000
山东广播电视台经济广播,http://192.168.2.88:8888/udp/239.253.244.166:8000
四海钓鱼标清,http://192.168.2.88:8888/udp/239.253.244.118:8000
环球旅游标清,http://192.168.2.88:8888/udp/239.253.244.71:8000
车迷标清,http://192.168.2.88:8888/udp/239.253.244.73:8000
中华特产标清,http://192.168.2.88:8888/udp/239.253.244.76:8000
北京纪实科教,http://192.168.2.88:8888/udp/239.253.244.165:8000
汽摩频道,http://192.168.2.88:8888/udp/239.253.244.161:8000
海洋频道高清,http://192.168.2.88:8888/udp/239.253.244.67:8000
